RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,savings,,,,interest,,
1,15634602,Hargrave,619,France,Female,42,2,0,1,1,1,101348.88,1,-101348.88,101348.88,5067.444,96281.436,50674.44,-50674.44, 
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,-28734.72,28734.72,5627.129,23107.591,56271.29,27536.57,1376.8285
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,45729.23,-45729.23,5696.5785,-51425.8085,56965.785,102695.015,5134.75075
4,15701354,Boni,699,France,Female,39,1,0,2,0,0,93826.63,0,-93826.63,93826.63,4691.3315,89135.2985,46913.315,-46913.315,-2345.66575
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,46426.72,-46426.72,3954.205,-50380.925,39542.05,85968.77,4298.4385
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,-36000.93,36000.93,7487.8355,28513.0945,74878.355,38877.425,1943.87125
7,15592531,Bartlett,822,France,Male,50,7,0,2,1,1,10062.8,0,-10062.8,10062.8,503.14,9559.66,5031.4,-5031.4,-251.57
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,-4300.14,4300.14,5967.344,-1667.204,59673.44,55373.3,2768.665
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,67110.57,-67110.57,3747.025,-70857.595,37470.25,104580.82,5229.041
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,62878.15,-62878.15,3586.2865,-66464.4365,35862.865,98741.015,4937.05075
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,21835.6,-21835.6,4009.056,-25844.656,40090.56,61926.16,3096.308
12,15737173,Andrews,497,Spain,Male,24,3,0,2,1,0,76390.01,0,-76390.01,76390.01,3819.5005,72570.5095,38195.005,-38195.005,-1909.75025
13,15632264,Kay,476,France,Female,34,10,0,2,1,0,26260.98,0,-26260.98,26260.98,1313.049,24947.931,13130.49,-13130.49,-656.5245
14,15691483,Chin,549,France,Female,25,5,0,2,0,0,190857.79,0,-190857.79,190857.79,9542.8895,181314.9005,95428.895,-95428.895,-4771.44475
15,15600882,Scott,635,Spain,Female,35,7,0,2,1,1,65951.65,0,-65951.65,65951.65,3297.5825,62654.0675,32975.825,-32975.825,-1648.79125
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,78802.15,-78802.15,3216.363,-82018.513,32163.63,110965.78,5548.289
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,127505.21,-127505.21,254.8835,-127760.0935,2548.835,130054.045,6502.70225
18,15788218,Henderson,549,Spain,Female,24,9,0,2,1,1,14406.41,0,-14406.41,14406.41,720.3205,13686.0895,7203.205,-7203.205,-360.16025
19,15661507,Muldrow,587,Spain,Male,45,6,0,1,0,0,158684.81,0,-158684.81,158684.81,7934.2405,150750.5695,79342.405,-79342.405,-3967.12025
20,15568982,Hao,726,France,Female,24,6,0,2,1,1,54724.03,0,-54724.03,54724.03,2736.2015,51987.8285,27362.015,-27362.015,-1368.10075
21,15577657,McDonald,732,France,Male,41,8,0,2,1,1,170886.17,0,-170886.17,170886.17,8544.3085,162341.8615,85443.085,-85443.085,-4272.15425
22,15597945,Dellucci,636,Spain,Female,32,8,0,2,1,0,138555.46,0,-138555.46,138555.46,6927.773,131627.687,69277.73,-69277.73,-3463.8865
23,15699309,Gerasimov,510,Spain,Female,38,4,0,1,1,0,118913.53,1,-118913.53,118913.53,5945.6765,112967.8535,59456.765,-59456.765,-2972.83825
24,15725737,Mosman,669,France,Male,46,3,0,2,0,1,8487.75,0,-8487.75,8487.75,424.3875,8063.3625,4243.875,-4243.875,-212.19375
25,15625047,Yen,846,France,Female,38,5,0,1,1,1,187616.16,0,-187616.16,187616.16,9380.808,178235.352,93808.08,-93808.08,-4690.404
26,15738191,Maclean,577,France,Male,25,3,0,2,0,1,124508.29,0,-124508.29,124508.29,6225.4145,118282.8755,62254.145,-62254.145,-3112.70725
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,-33226.31,33226.31,8502.0975,24724.2125,85020.975,51794.665,2589.73325
28,15700772,Nebechi,571,France,Male,44,9,0,2,0,0,38433.35,0,-38433.35,38433.35,1921.6675,36511.6825,19216.675,-19216.675,-960.83375
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,41162,-41162,5009.3715,-46171.3715,50093.715,91255.715,4562.78575
